Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax,Total,Date,Time,Payment,COGS,Gross Margin Percentage,Gross Income,Rating
INV3371,A,Mandalay,Normal,Female,Electronic accessories,194.80582876433132,3,58.441748629299404,532.042184664934,2020-02-29,12:22 AM,Ewallet,473.6004360356346,89.01557990817881,58.44174862929941,8.737112176806754
INV3280,C,Mandalay,Member,Female,Health and beauty,144.2583308761112,2,28.85166617522224,505.4239907550763,2020-05-23,07:15 PM,Credit Card,476.57232457985407,94.29159147508621,28.85166617522225,9.811853001428824
INV9549,A,Yangon,Normal,Male,Sports and travel,157.01339828538968,6,94.2080389712338,487.7422098953242,2020-11-03,05:23 AM,Cash,393.5341709240904,80.6848706017361,94.2080389712338,9.763352838996232
INV9898,B,Mandalay,Normal,Female,Health and beauty,92.60712700874805,6,55.56427620524883,263.1718576319962,2020-11-26,02:11 PM,Cash,207.60758142674737,78.88669529287338,55.56427620524883,6.97173341834403
INV1789,C,Naypyitaw,Normal,Female,Electronic accessories,59.75039513758864,6,35.850237082553186,867.7763083327484,2020-09-07,07:00 PM,Cash,831.9260712501952,95.86872368624213,35.850237082553235,6.485229736180743
INV7419,C,Mandalay,Normal,Female,Health and beauty,44.14342964796082,8,35.31474371836866,583.6205703265357,2020-03-27,09:51 PM,Ewallet,548.3058266081671,93.94902347280014,35.31474371836862,3.2511909496492555
INV4801,C,Mandalay,Normal,Male,Food and beverages,183.66677897940664,10,183.66677897940667,561.7735660210861,2020-10-26,10:36 AM,Credit Card,378.10678704167947,67.30590577974743,183.66677897940667,3.950764548289495
INV5469,C,Mandalay,Normal,Male,Sports and travel,66.61640712297867,1,6.661640712297867,123.03632426103246,2020-10-26,08:53 AM,Credit Card,116.3746835487346,94.58563090834492,6.661640712297867,8.212979893973865
INV5585,A,Mandalay,Member,Male,Health and beauty,118.22512972770173,2,23.645025945540347,206.04869832753536,2020-10-08,11:47 AM,Cash,182.40367238199502,88.52454485883034,23.64502594554034,5.862445915891195
INV8865,B,Yangon,Normal,Male,Health and beauty,38.02308465129661,2,7.604616930259322,216.89382683313107,2020-12-17,03:16 AM,Ewallet,209.28920990287176,96.49385275676381,7.604616930259311,7.087044242493704
INV7064,C,Yangon,Normal,Male,Electronic accessories,125.23293809462014,3,37.56988142838605,840.7268357998424,2020-01-13,04:19 PM,Credit Card,803.1569543714564,95.5312617810465,37.569881428386,6.779291038908119
INV9367,A,Naypyitaw,Normal,Male,Sports and travel,70.63090345890745,5,35.315451729453734,835.4500525888009,2020-01-15,11:51 AM,Cash,800.1346008593472,95.77288293656551,35.315451729453684,9.041597309401055
INV6550,A,Mandalay,Normal,Male,Food and beverages,72.54996902966079,2,14.509993805932158,378.3271540700488,2020-03-27,06:00 AM,Cash,363.81716026411664,96.16469670499899,14.50999380593214,5.8445613487479715
INV1475,C,Mandalay,Normal,Male,Electronic accessories,139.6336832758312,1,13.96336832758312,820.6555619310903,2020-01-10,05:25 AM,Cash,806.6921936035072,98.29851048657663,13.963368327583112,8.770881441100812
INV3258,A,Yangon,Member,Female,Electronic accessories,103.79160245918673,6,62.27496147551204,719.7930158851384,2020-01-17,07:32 AM,Ewallet,657.5180544096263,91.34821259707114,62.2749614755121,3.081872529785499
INV8885,B,Naypyitaw,Member,Male,Sports and travel,176.52882707146856,7,123.57017895002798,703.5493484605057,2020-01-04,08:39 AM,Credit Card,579.9791695104777,82.43617463076015,123.57017895002798,6.277505731087415
